house_id,montly_rent,deposit_value,house_rules,street,size,lat_long,scrapy_datetime
1718580,EUR 950,EUR 200,"['Private facilities', 'Private living room', 'Private Toilet', 'Private bathroom', 'Private balcony', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Gottfried-Keller-Straße,Property: 45 m2,['51.26061'],2021/05/11 - 06:15:21
1712204,EUR 910,EUR 3600,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Rethelstraße,Property: 50 m2,['51.23594'],2021/05/11 - 06:15:27
1711913,EUR 799,EUR 500,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Pets negotiable', 'Smoking allowed only outside', 'Playing Musical Instruments not allowed']",Mathildenstraße,Property: 24 m2,['51.24363'],2021/05/11 - 06:15:34
1722679,EUR 1490,EUR 1490,"['Private living room', 'Private Toilet', 'Private kitchen', 'Shared basement', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Klapheckstraße,Property: 73 m2,['51.25927'],2021/05/11 - 06:15:39
1613665,EUR 990,EUR 1980,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Geibelstraße,Property: 45 m2,['51.24252'],2021/05/11 - 06:15:42
1715489,EUR 849,EUR 2790,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Glockenstraße,Property: 30 m2,['51.24546'],2021/05/11 - 06:15:44
1705842,EUR 1050,EUR 1100,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 34 m2,['51.22123'],2021/05/11 - 06:15:46
1705795,EUR 1050,EUR 1100,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 34 m2,['51.22123'],2021/05/11 - 06:15:49
1720936,EUR 850,EUR 1500,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets allowed', 'Smoking allowed only outside']",Weseler Straße,Property: 30 m2,['51.24086'],2021/05/11 - 06:15:51
1704583,EUR 850,EUR 0,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'No bedroom lock', 'Not access friendly', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Westfalenstraße,Property: 30 m2,['51.26296'],2021/05/11 - 06:15:53
1709069,EUR 1100,EUR 600,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Moltkestraße,Property: 35 m2,['51.23666'],2021/05/11 - 06:15:55
1694985,EUR 1200,EUR 1500,"['Shared toilet', 'Shared kitchen', 'Unisex bathroom', 'Private balcony', 'No Parking', 'No living room', 'WiFi', 'Bed', 'Bedroom lock', 'Shared kitchenware', 'Washing machine', 'Closet', 'Playing musical instruments negotiable', 'Smoking not allowed']",Bergiusstraße,Property: 67 m2,['51.29649'],2021/05/11 - 06:15:57
1717989,EUR 1040,EUR 1800,"['Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Shared basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Pets negotiable', 'Playing Musical Instruments not allowed', 'Smoking not allowed']",Füsilierstraße,Property: 50 m2,['51.25029'],2021/05/11 - 06:15:59
1717578,EUR 1180,EUR 2360,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Kurfürstenstraße,Property: 48 m2,['51.22356'],2021/05/11 - 06:16:01
1711909,,,[],,,,2021/05/11 - 06:16:16
1709077,EUR 1200,EUR 600,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Moltkestraße,Property: 35 m2,['51.23666'],2021/05/11 - 06:16:18
1720880,,,[],,,,2021/05/11 - 06:16:27
1704584,EUR 1200,EUR 0,"['Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No living room', 'No garden', 'No bedroom lock', 'Not access friendly', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Dorstener Straße,Property: 45 m2,['51.2707'],2021/05/11 - 06:16:29
1668748,EUR 1200,EUR 1500,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'No balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Smoking not allowed']",Talstraße,Property: 65 m2,['51.21383'],2021/05/11 - 06:16:32
1722166,EUR 1200,EUR 1000,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Shared basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Brehmstraße,Property: 72 m2,['51.24256'],2021/05/11 - 06:16:34
1713912,EUR 1250,EUR 0,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing Musical Instruments allowed', 'Pets negotiable', 'Smoking negotiable']",Görlitzer Straße,Property: 54 m2,['51.20208'],2021/05/11 - 06:16:36
1716604,EUR 1050,EUR 1500,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Jahnstraße,Property: 45 m2,['51.21443'],2021/05/11 - 06:16:38
1724005,EUR 1650,EUR 1750,"['Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Shared basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Hohe Straße,Property: 50 m2,['51.22069'],2021/05/11 - 06:16:40
1710339,EUR 910,EUR 3600,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No basement', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Rethelstraße,Property: 50 m2,['51.23594'],2021/05/11 - 06:16:44
1718920,EUR 1420,EUR 2140,"['Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Kirchstraße,Property: 60 m2,['51.21374'],2021/05/11 - 06:16:47
