house_id,montly_rent,deposit_value,house_rules,street,size,lat_long,scrapy_datetime
1716967,EUR 1150,EUR 1200,"['Shared facilities', 'Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Private basement', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Hoffeldstraße,Property: 38 m2,"['51.22699', '6.81498']",2021/05/11 - 06:30:00
1722111,EUR 1200,EUR 500,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Karl-Anton-Straße,Property: 56 m2,"['51.22539', '6.79334']",2021/05/11 - 06:30:03
1709049,EUR 900,EUR 1000,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Washing machine', 'Closet', 'Playing Musical Instruments allowed', 'Smoking allowed only outside', 'Pets not allowed']",Ahnfeldstraße,Property: 40 m2,"['51.24032', '6.79778']",2021/05/11 - 06:30:07
1715442,EUR 1000,EUR 500,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Shared balcony', 'No Parking', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Washing machine', 'Closet', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Collenbachstraße,Property: 42 m2,"['51.2438', '6.78295']",2021/05/11 - 06:30:10
1723918,EUR 1300,EUR 1000,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'No balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed']",Oberbilker Allee,Property: 60 m2,"['51.21096', '6.78545']",2021/05/11 - 06:30:14
1714052,EUR 1050,EUR 1050,"['Shared facilities', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'Private balcony', 'WiFi', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Washing machine', 'Smoking allowed only outside', 'Playing Musical Instruments not allowed', 'Pets not allowed']",Oldenburger Straße,Property: 58 m2,"['51.26864', '6.77622']",2021/05/11 - 06:30:18
1713953,EUR 695,EUR 800,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'No Parking', 'WiFi', 'Bed', 'TV', 'Closet', 'Not access friendly', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Gneisenaustraße,Property: 30 m2,"['51.23907', '6.78377']",2021/05/11 - 06:30:28
1718580,EUR 950,EUR 200,"['Private facilities', 'Private living room', 'Private Toilet', 'Private bathroom', 'Private balcony', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Gottfried-Keller-Straße,Property: 45 m2,"['51.26061', '6.75716']",2021/05/11 - 06:30:32
1712204,EUR 910,EUR 3600,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Rethelstraße,Property: 50 m2,"['51.23594', '6.79765']",2021/05/11 - 06:30:35
1711913,EUR 799,EUR 500,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Pets negotiable', 'Smoking allowed only outside', 'Playing Musical Instruments not allowed']",Mathildenstraße,Property: 24 m2,"['51.24363', '6.80792']",2021/05/11 - 06:30:38
1722679,EUR 1490,EUR 1490,"['Private living room', 'Private Toilet', 'Private kitchen', 'Shared basement', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Klapheckstraße,Property: 73 m2,"['51.25927', '6.75859']",2021/05/11 - 06:30:45
1613665,EUR 990,EUR 1980,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Geibelstraße,Property: 45 m2,"['51.24252', '6.82311']",2021/05/11 - 06:30:56
1715489,EUR 849,EUR 2790,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Glockenstraße,Property: 30 m2,"['51.24546', '6.78685']",2021/05/11 - 06:31:01
1705842,EUR 1050,EUR 1100,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'Private balcony', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing musical instruments negotiable', 'Smoking allowed only outside', 'Pets not allowed']",Charlottenstraße,Property: 34 m2,"['51.22123', '6.78793']",2021/05/11 - 06:31:06
1705795,,,[],,,,2021/05/11 - 06:31:27
1720936,EUR 850,EUR 1500,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets allowed', 'Smoking allowed only outside']",Weseler Straße,Property: 30 m2,"['51.24086', '6.79889']",2021/05/11 - 06:31:30
1704583,EUR 850,EUR 0,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'No bedroom lock', 'Not access friendly', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Westfalenstraße,Property: 30 m2,"['51.26296', '6.8168']",2021/05/11 - 06:31:33
1709069,EUR 1100,EUR 600,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Moltkestraße,Property: 35 m2,"['51.23666', '6.79301']",2021/05/11 - 06:31:41
1694985,EUR 1200,EUR 1500,"['Shared toilet', 'Shared kitchen', 'Unisex bathroom', 'Private balcony', 'No Parking', 'No living room', 'WiFi', 'Bed', 'Bedroom lock', 'Shared kitchenware', 'Washing machine', 'Closet', 'Playing musical instruments negotiable', 'Smoking not allowed']",Bergiusstraße,Property: 67 m2,"['51.29649', '6.82816']",2021/05/11 - 06:31:44
1717989,EUR 1040,EUR 1800,"['Private living room', 'Shared garden', 'Private Toilet', 'Private kitchen', 'Shared basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Pets negotiable', 'Playing Musical Instruments not allowed', 'Smoking not allowed']",Füsilierstraße,Property: 50 m2,"['51.25029', '6.77988']",2021/05/11 - 06:31:47
1717578,EUR 1180,EUR 2360,"['Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'No Parking', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Kurfürstenstraße,Property: 48 m2,"['51.22356', '6.79328']",2021/05/11 - 06:31:49
1711909,EUR 990,EUR 650,"['Shared facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Pets negotiable', 'Playing Musical Instruments not allowed', 'Smoking not allowed']",Hansaplatz,Property: 49 m2,"['51.24601', '6.80335']",2021/05/11 - 06:31:53
1709077,EUR 1200,EUR 600,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private bathroom', 'No garden', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Bedroom lock', 'Private kitchenware', 'Playing Musical Instruments not allowed', 'Pets not allowed', 'Smoking not allowed']",Moltkestraße,Property: 35 m2,"['51.23666', '6.79301']",2021/05/11 - 06:31:56
1720880,EUR 1200,EUR 1200,"['Private facilities', 'Private living room', 'Private Toilet', 'Private kitchen', 'Private basement', 'Private bathroom', 'WiFi', 'Living room furniture', 'Bed', 'TV', 'Private kitchenware', 'Washing machine', 'Playing musical instruments negotiable', 'Pets negotiable', 'Smoking allowed only outside']",Grupellostraße,Property: 56 m2,"['51.22076', '6.78691']",2021/05/11 - 06:31:59
1704584,EUR 1200,EUR 0,"['Private Toilet', 'Private kitchen', 'Private bathroom', 'No Parking', 'No living room', 'No garden', 'No bedroom lock', 'Not access friendly', 'Playing musical instruments negotiable', 'Pets not allowed', 'Smoking not allowed']",Dorstener Straße,Property: 45 m2,"['51.2707', '6.79669']",2021/05/11 - 06:32:19
1668748,,,[],,,,2021/05/11 - 06:32:27
